,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia
,PAN_D,PRI_D,PRD_D,PVEM_D,PT_D,MC_D,NA_D,MORENA_D,ES_D,PAN_PRD_MC_D,PAN_PRD_D,PAN_MC_D,PRD_MC_D,PRI_PVEM_NA_D,PRI_PVEM_D,PRI_NA_D,PVEM_NA_D,PT_MORENA_ES_D,PT_MORENA_D,PT_ES_D,MORENA_ES_D,CAND_IND1_D,CAND_IND2_D,NUM_VOTOS_CAN_NREG_D,NUM_VOTOS_NULOS_D,TOTAL_VOTOS_D,LISTA_NOMINAL_D,index_D,PAN_PR,PRI_PR,PRD_PR,PVEM_PR,PT_PR,MC_PR,NA_PR,MORENA_PR,ES_PR,PAN_PRD_MC_PR,PAN_PRD_PR,PAN_MC_PR,PRD_MC_PR,PRI_PVEM_NA_PR,PRI_PVEM_PR,PRI_NA_PR,PVEM_NA_PR,PT_MORENA_ES_PR,PT_MORENA_PR,PT_ES_PR,MORENA_ES_PR,CAND_IND1_PR,CAND_IND2_PR,NUM_VOTOS_CAN_NREG_PR,NUM_VOTOS_NULOS_PR,TOTAL_VOTOS_PR,LISTA_NOMINAL_PR,index_PR
ATLIXCO,17582.0,8804.0,754.0,2721.0,1522.0,741.0,1537.0,28132.0,712.0,184.0,110.0,51.0,3.0,0.0,0.0,0.0,0.0,512.0,192.0,11.0,181.0,0.0,0.0,27.0,2670.0,66446.0,103235,21019,13329.0,7922.0,419.0,558.0,2610.0,258.0,372.0,33872.0,764.0,240.0,107.0,62.0,5.0,98.0,281.0,32.0,4.0,1214.0,347.0,61.0,301.0,37.0,2596.0,20.0,1684.0,67193,103235,21019
ATOYATEMPAN,295.0,478.0,54.0,171.0,229.0,131.0,34.0,1837.0,83.0,6.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,54.0,31.0,9.0,20.0,0.0,0.0,1.0,158.0,3600.0,4905,21020,196.0,391.0,20.0,52.0,324.0,57.0,19.0,2331.0,59.0,10.0,1.0,5.0,0.0,0.0,6.0,2.0,0.0,123.0,48.0,7.0,35.0,8.0,93.0,1.0,97.0,3885,4905,21020
ATZALA,102.0,260.0,10.0,254.0,16.0,11.0,8.0,180.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,891.0,1074,21021,163.0,201.0,4.0,132.0,42.0,6.0,6.0,317.0,20.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,18.0,2.0,2.0,0.0,0.0,35.0,0.0,29.0,982,1074,21021
ATZITZIHUACAN,1431.0,1956.0,797.0,109.0,213.0,302.0,56.0,1201.0,55.0,43.0,44.0,6.0,12.0,0.0,0.0,0.0,0.0,36.0,14.0,0.0,10.0,0.0,0.0,0.0,358.0,6643.0,9014,21022,1016.0,1811.0,467.0,28.0,515.0,169.0,29.0,1831.0,85.0,41.0,40.0,7.0,9.0,7.0,21.0,3.0,0.0,107.0,34.0,6.0,17.0,0.0,101.0,0.0,267.0,6611,9014,21022
ATZITZINTLA,188.0,423.0,466.0,73.0,148.0,1342.0,917.0,964.0,25.0,13.0,18.0,14.0,4.0,0.0,0.0,0.0,0.0,38.0,8.0,2.0,17.0,0.0,0.0,0.0,262.0,4922.0,6190,21023,214.0,401.0,377.0,28.0,279.0,1001.0,621.0,1374.0,85.0,25.0,18.0,9.0,1.0,6.0,3.0,12.0,4.0,71.0,20.0,8.0,26.0,1.0,104.0,1.0,214.0,4903,6190,21023
AXUTLA,256.0,203.0,15.0,5.0,15.0,6.0,1.0,145.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,702.0,1059,21024,248.0,153.0,13.0,2.0,26.0,4.0,2.0,195.0,12.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,4.0,2.0,21.0,699,1059,21024
AYOTOXCO DE GUERRERO,1099.0,1153.0,126.0,538.0,82.0,92.0,37.0,967.0,38.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,5.0,2.0,5.0,0.0,0.0,0.0,234.0,4406.0,5880,21025,917.0,1001.0,88.0,404.0,170.0,51.0,25.0,1350.0,71.0,10.0,6.0,4.0,1.0,9.0,18.0,1.0,3.0,31.0,14.0,5.0,10.0,0.0,68.0,0.0,152.0,4409,5880,21025
CALPAN,869.0,907.0,120.0,503.0,283.0,526.0,227.0,2791.0,96.0,6.0,8.0,17.0,1.0,0.0,0.0,0.0,0.0,84.0,27.0,3.0,14.0,0.0,0.0,0.0,503.0,6985.0,10576,21026,827.0,761.0,76.0,192.0,403.0,275.0,96.0,3243.0,114.0,22.0,10.0,17.0,3.0,11.0,28.0,8.0,5.0,179.0,66.0,14.0,39.0,4.0,236.0,2.0,356.0,6987,10576,21026
CALTEPEC,839.0,907.0,40.0,72.0,27.0,280.0,66.0,510.0,21.0,7.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,5.0,0.0,0.0,0.0,115.0,2908.0,3572,21027,748.0,745.0,27.0,32.0,97.0,190.0,5.0,803.0,36.0,5.0,4.0,6.0,3.0,2.0,15.0,1.0,0.0,21.0,8.0,2.0,2.0,8.0,54.0,0.0,78.0,2892,3572,21027
CAMOCUAUTLA,88.0,501.0,9.0,7.0,18.0,639.0,5.0,360.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1680.0,1855,21028,79.0,469.0,9.0,8.0,27.0,588.0,1.0,434.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,13.0,0.0,30.0,1680,1855,21028
